2025-05-15 01:11:13,persona1,Permitido
2025-05-15 01:15:27,persona1,Permitido
2025-05-15 01:27:53,persona1,Permitido
2025-05-15 01:32:25,Michelle,Permitido
2025-05-15 01:34:21,Michelle,Permitido
2025-05-15 01:34:39,Michelle,Permitido
2025-05-15 01:35:03,Michelle,Permitido
2025-05-15 01:35:26,Ruben,Permitido
2025-05-15 01:56:20,Michelle,Permitido
2025-05-15 01:59:54,Marconi,Permitido
2025-05-15 02:00:01,Marconi,Permitido
2025-05-21 16:01:55,Silvia,Permitido
2025-05-21 17:56:22,Silvia,Permitido
2025-05-21 17:56:42,Silvia,Permitido
2025-05-21 18:06:25,Silvia,Permitido
2025-05-21 18:13:12,Silviaa,Permitido
2025-05-21 18:13:31,Silvia,Permitido
2025-05-21 18:24:48,Michelle,Permitido
2025-05-21 18:24:56,silvia,Permitido
2025-05-21 18:28:46,silvia,Permitido
2025-05-21 18:28:52,silvia,Permitido
2025-05-21 18:29:09,silvia,Permitido
2025-05-21 18:29:18,silvia,Permitido
2025-05-21 18:35:40,silvia,Permitido
2025-05-21 18:35:50,silvia,Permitido
2025-05-21 18:36:44,silvia,Permitido
2025-05-21 18:36:54,silvia,Permitido
2025-05-22 10:31:23,silvia,Permitido
2025-05-22 10:34:16,alejandra,Permitido
2025-05-22 10:34:31,alejandra,Permitido
2025-05-22 10:35:15,alejandra,Permitido
2025-05-22 10:38:21,alejandra,Permitido
2025-05-22 10:42:20,alejandra,Permitido
2025-05-22 10:42:34,alejandra,Permitido
